lambda,offset,r,oos
0.0,37,0.04,0.009968105275134613
0.0,37,0.05,0.010168995987036094
0.0,37,0.060000000000000005,0.01036977613958447
0.0,37,0.06999999999999999,0.010546364892701107
0.0,37,0.08,0.0107225162048214
0.0,37,0.09,0.01089756686164686
0.0,37,0.09999999999999999,0.01107228411069619
0.0,37,0.11,0.011243418417994103
0.0,37,0.12,0.011437186919554128
0.0,37,0.13,0.011623466581638207
0.0,37,0.14,0.01181262466590162
0.0,38,0.01,0.007908988110997158
0.0,38,0.02,0.00800654915468689
0.0,38,0.03,0.008085580200887031
0.0,38,0.04,0.00820722600140668
0.0,38,0.05,0.008312063383199971
0.0,38,0.060000000000000005,0.008422337432418877
0.0,38,0.06999999999999999,0.00850647626195412
0.0,38,0.08,0.008634995572483343
0.0,38,0.09,0.008707985523487848
0.0,38,0.09999999999999999,0.008838220596508493
0.0,38,0.11,0.008891451342384416
0.0,38,0.12,0.008999220985442988
0.0,38,0.13,0.009123642036092935
0.0,38,0.14,0.009211257387378501
0.0,39,0.01,0.007917450867733938
0.0,39,0.02,0.00800654915468689
0.0,39,0.03,0.008085580200887031
0.0,39,0.04,0.00818605571707757
0.0,39,0.05,0.008312063383199971
0.0,39,0.060000000000000005,0.008417050538968433
0.0,39,0.06999999999999999,0.008517469909036334
0.0,39,0.08,0.008615499680595839
0.0,39,0.09,0.008713124515571921
0.0,39,0.09999999999999999,0.00880969784665965
0.0,39,0.11,0.008896209656192366
0.0,39,0.12,0.008999220985442988
0.0,39,0.13,0.009123642036092935
0.0,39,0.14,0.009207404508626268
0.0,40,0.01,0.007917450867733938
0.0,40,0.02,0.008024429155703077
0.0,40,0.03,0.008085580200887031
0.0,40,0.04,0.00820722600140668
0.0,40,0.05,0.008304238116270814
0.0,40,0.060000000000000005,0.008422337432418877
0.0,40,0.06999999999999999,0.00850647626195412
0.0,40,0.08,0.008615499680595839
0.0,40,0.09,0.008713124515571921
0.0,40,0.09999999999999999,0.00880969784665965
0.0,40,0.11,0.008896209656192366
0.0,40,0.12,0.008996882142507975
0.0,40,0.13,0.009123642036092935
0.0,40,0.14,0.009211257387378501
0.0,41,0.01,-0.003799606543035407
0.0,41,0.02,-0.003736476995482081
0.0,41,0.03,-0.003724170944518105
0.0,41,0.04,-0.0037032419853190134
0.0,41,0.05,-0.003707339008610291
0.0,41,0.060000000000000005,-0.003705011844816455
0.0,41,0.06999999999999999,-0.0036787302945742797
0.0,41,0.08,-0.0036540292039380093
0.0,41,0.09,-0.0036462734504779503
0.0,41,0.09999999999999999,-0.0036311858262744537
0.0,41,0.11,-0.0036266491012078945
0.0,41,0.12,-0.0036725343381556323
0.0,41,0.13,-0.0035803626562143503
0.0,41,0.14,-0.003552300175152623
0.0,42,0.01,-0.0035801213188615157
0.0,42,0.02,-0.003472410903280545
0.0,42,0.03,-0.003380837550586338
0.0,42,0.04,-0.003286141961132446
0.0,42,0.05,-0.0032018468201962256
0.0,42,0.060000000000000005,-0.0031196008180816516
0.0,42,0.06999999999999999,-0.003042162809845648
0.0,42,0.08,-0.0029623007421924253
0.0,42,0.09,-0.0028961871882491282
0.0,42,0.09999999999999999,-0.002837752557119474
0.0,42,0.11,-0.0027813392538409082
0.0,42,0.12,-0.0027091810945577806
0.0,42,0.13,-0.002642158729416292
0.0,42,0.14,-0.0025739670060973547
0.0,43,0.01,0.010979770308215384
0.0,43,0.02,0.010931922271968979
0.0,43,0.03,0.010872603798451506
0.0,43,0.04,0.010816633345359478
0.0,43,0.05,0.010768377350644768
0.0,43,0.060000000000000005,0.010707725355258883
0.0,43,0.06999999999999999,0.010673329566676557
0.0,43,0.08,0.010627430668243915
0.0,43,0.09,0.01059974511416021
0.0,43,0.09999999999999999,0.010506354983597047
0.0,43,0.11,0.010492145156760311
0.0,43,0.12,0.010497365500714255
0.0,43,0.13,0.010466509289166093
0.0,43,0.14,0.01042645602967562
0.0,44,0.01,0.0007968707111041429
0.0,44,0.02,0.0009192044471442358
0.0,44,0.03,0.0010253715221557303
0.0,44,0.04,0.0011672223132864594
0.0,44,0.05,0.0012238825688286306
0.0,44,0.060000000000000005,0.00137753626603353
0.0,44,0.06999999999999999,0.0014773700064727633
0.0,44,0.08,0.0015857475483927893
0.0,44,0.09,0.0016793161631015855
0.0,44,0.09999999999999999,0.0017778126657339863
0.0,44,0.11,0.0018493197776615344
0.0,44,0.12,0.001985331097133383
0.0,44,0.13,0.002094671327286452
0.0,44,0.14,0.002152912710878292
0.0,45,0.01,0.008530802586571929
0.0,45,0.02,0.008385019222670969
0.0,45,0.03,0.008311709751411727
0.0,45,0.04,0.008218316807536211
0.0,45,0.05,0.008071854132247397
0.0,45,0.060000000000000005,0.007982545509210019
0.0,45,0.06999999999999999,0.007920517421076096
0.0,45,0.08,0.007810785074173024
0.0,45,0.09,0.007719230964784658
0.0,45,0.09999999999999999,0.007586204073673664
0.0,45,0.11,0.007511034230439528
0.0,45,0.12,0.007398806759666278
0.0,45,0.13,0.007293433709937729
0.0,45,0.14,0.007192957881668696
0.0,46,0.01,0.008530802586571929
0.0,46,0.02,0.008385019222670969
0.0,46,0.03,0.008311709751411727
0.0,46,0.04,0.008209944237452006
0.0,46,0.05,0.008071854132247397
0.0,46,0.060000000000000005,0.007982545509210019
0.0,46,0.06999999999999999,0.007938744888746685
0.0,46,0.08,0.007810785074173024
0.0,46,0.09,0.007719230964784658
0.0,46,0.09999999999999999,0.007609445396846521
0.0,46,0.11,0.007511034230439528
0.0,46,0.12,0.007398806759666278
0.0,46,0.13,0.007293433709937729
0.0,46,0.14,0.007192957881668696
0.0,47,0.01,0.008530802586571929
0.0,47,0.02,0.008385019222670969
0.0,47,0.03,0.008311709751411727
0.0,47,0.04,0.008209944237452006
0.0,47,0.05,0.008090264133248423
0.0,47,0.060000000000000005,0.008017625941062596
0.0,47,0.06999999999999999,0.007920517421076096
0.0,47,0.08,0.007810785074173024
0.0,47,0.09,0.007719230964784658
0.0,47,0.09999999999999999,0.007609445396846521
0.0,47,0.11,0.007511034230439528
0.0,47,0.12,0.007397847548515106
0.0,47,0.13,0.007257963834495586
0.0,47,0.14,0.007168064140432293
0.0,48,0.01,0.00602690742995153
0.0,48,0.02,0.006204332292470507
0.0,48,0.03,0.006332122141764875
0.0,48,0.04,0.006547852432079543
0.0,48,0.05,0.006690876504623862
0.0,48,0.060000000000000005,0.006883973871515744
0.0,48,0.06999999999999999,0.007062894123350265
0.0,48,0.08,0.007247898399351299
0.0,48,0.09,0.0074204420776244825
